QueryType,QueryText,KccAns
Fertilizer Use and Availability,Tell me no flowering in armenian.,Spray of multiplax (micronutrient) 2 ml per litre water
Market Information,Tell me about taking soil sample ,Dig 6-9 inch deep `v` shape pit and taking 500 gm soil sample for testing soil
Fertilizer Use and Availability,Tell me control of flower dropping,Spray of planofix 1 ml per 4 litre water
Plant Protection,Tell me control red pumpkin beetal in tori.,Spray of imamectin benzoate 1 gm per 3 litre water
Plant Protection,Farmer needs information regarding control measures of stem borer in paddy crop,You can apply cartap hydrochloride 4 % gr @ 8-10 kg/acre broadcast with 8-10 kg sand for control measures of stem borer in paddy crop.
Plant Protection,Farmer want to know information about control measure fruit borer insect in pomegranate plant ,You can apply cartap hydrochloride 4 % gr @ 8-10 kg/acre broadcast with 8-10 kg sand for control measures of stem borer in paddy crop.
Plant Protection,Farmer wants to know information about control measure disease in paddy crop,You can apply cartap hydrochloride 4 % gr @ 8-10 kg/acre broadcast with 8-10 kg sand for control measures of stem borer in paddy crop.
Plant Protection,Farmer wants to know information about control of rat attack on wheat crop ,"Farmer can apply 5 gram of zinc phosphide mixed with 200 gram of gram floor (besan + oil), mix it properly an make a small 10-12 duvet, and spread it on the field,remind one thing to check, there are nothing any kind of sources of water available."
Plant Protection,Farmer wants to know information about control of sheath blight in paddy crop,"Farmer can apply 5 gram of zinc phosphide mixed with 200 gram of gram floor (besan + oil), mix it properly an make a small 10-12 duvet, and spread it on the field,remind one thing to check, there are nothing any kind of sources of water available."
Plant Protection,Query about panicle mite in paddy crop ,Dear farmer to control false smut in paddy spray copper hydroxide 77 % wp @ 400 gram per acre + streptocycline 15 - 20 gram per acre mix with 150 - 200 litree of water .
Plant Protection,Query about false smut in paddy ,Dear farmer to control false smut in paddy spray copper hydroxide 77 % wp @ 400 gram per acre + streptocycline 15 - 20 gram per acre mix with 150 - 200 litree of water .
Plant Protection,Farmer wants to know about control of brown plant hopper attack in paddy crop,For control of brown plant hopper attack in paddy spray imidacloprid 40 % + ethiprol 40 % wg @ 50 -70 gram per acre with 150 to 200 litres of water in the evening time make sure to remove water from the field.before spraying in the field first spray on the bunds.
Plant Protection,Farmer wants to know about the management of the bph in the paddy crop ,"Dear farmer, for the management of the bph in the paddy crop kindly spray of the (ethiprole 40 % + imidachlorprid 40 % ) 80 wg @ 50-70 gram and mix with 150-200 litre of water for one acre area."
Plant Protection,Farmer wants to know about the management of the white hopper in the paddy crop ,"Dear farmer, for the management of the white hopper in the paddy crop kindly spray of the (ethiprole 40 % + imidachlorprid 40 % ) 80 wg @ 50-70 gram and mix with 150-200 litre of water for one acre area."
Plant Protection,Farmer wants to increase flowering and fruit setting in cowpea crop ,Dear farmer use recommended dose of [amino acid+folic acid] fentec plus 100 ml per acre with 150 to 200 litre water and apply in cowpea crop.
Plant Protection,Farmer need information regards the functioning of bifenthrin 10 %ec ,Dear farmer the insecticide bifenthrin 10 %ec is used for the control of leaf folder in paddy crop.
Plant Protection,Farmer needs information regarding control of panicle mite in paddy crop ,For control of panicle mite in paddy crop spray of spiromesifen 240 % sc @ 250 ml mix with 150-200 litre water per acre.
Plant Protection,Farmer needs information regarding control of bacterial leaf blight in paddy ,For control of bacterial leaf blight in paddy crop spray of validamycin 3% l @ 300 ml mix with 150 to 200 litre water per acre. eradication of affected plant.
Plant Protection,Farmer needs information regarding control of bacterial leaf blight of paddy ,For control of bacterial leaf blight in paddy crop spray of validamycin 3% l @ 300 ml mix with 150 to 200 litre water per acre. eradication of affected plant.
Government Schemes,Farmer need information regards pm kisan man dhan scheme,Dear farmer for the pm kisan mandhan yojana the eligibility is given to the farmers of 18 to 40 years age group and then after reaching the age of 60 the farmer is eligible to get 3000 rupees per month as a pension and for the application you can contact two common choice centres.
Plant Protection,Farmer needs information regarding control for brown hopper in paddy crop ,"For control of brown hopper in paddy crop can spray ethiprole 40% + imidacloprid 40 % wg @ 70 grams per acre in mix with 150 to 200 litres of water, sprinkle for evening time,"
Plant Protection,Farmer needs information regarding control for brown hopper in paddy crop ,For control of panicle mite in paddy crop spray of spiromesifen 240 % sc @ 250 ml mix with 150-200 litre water per acre.
Plant Protection,Farmer need information regards control of plant hopper in paddy crop,Dear farmer for the management of plant hopper in paddy crop apply flonicamid 50% wg @ 80 gram/acre with 150-200 litre of water.
Plant Protection,Farmer wants information about control brown hopper in paddy crop ,For control brown hopper in paddy crop spray of imidachloprid 40% + ethiprole 40% wg @ 60 gram per acre mix with 150-200 litre of water .
Plant Protection,Query about blast in paddy ,Dear farmer to control blast in paddy spray tricyclazole 75 % wp @ 100- 120 gram + streptocycline 15 - 20 gram per acre mix with 150 - 200 litres of water .
Plant Protection,Query about brown plant hopper in paddy ,Dear farmer to control brown plant hopper in paddy spray flonicamide 50 % wg @ 80 gram per acre mix with 150 - 200 litrees of water .
Plant Protection,Query about control of weeds in barren land ,Dear farmer to control brown plant hopper in paddy spray flonicamide 50 % wg @ 80 gram per acre mix with 150 - 200 litrees of water .
Plant Protection,Farmer needs information regarding control of gundhi bug insect attack in paddy crop ,For control of gundhi bug insect attack in paddy crop spray of buprofezin 25% sc @ 320 ml mix with 150-200 litre water per acre.
Plant Protection,Query about green plant hopper in paddy ,Dear farmer to control green plant hopper in paddy spray imidachloprid 40% + ethiprole 40% wg 50 - 70 gram per acre mix with 150 - 200 litree of water .
Plant Protection,Farmer needs information regarding control of sheath blight in paddy crop ,For control of sheath blight in paddy crop spray of propiconazole 25 % ec @ 150-200 ml + streptocyclin 15 gram mix with 150-200 litre water per acre. eradication of affected plant.
Plant Protection,Farmer needs information regarding control of white backed plant hopper insect attack in paddy crop ,For control of sheath blight in paddy crop spray of propiconazole 25 % ec @ 150-200 ml + streptocyclin 15 gram mix with 150-200 litre water per acre. eradication of affected plant.
Plant Protection,Farmer want to know information about control measure brown plant hopper in paddy crop,You can apply buprofezin 22% + fipronil 3% sc @ 400 ml/acre mix with 150-200 litre of water for control measure brown plant hopper in paddy crop.
Plant Protection,Farmer needs information regarding control of brown plant hopper and white backed plant hopper in paddy crop ,For control of brown plant hopper and white backed plant hopper in paddy crop spray of imidachloprid 40% + ethiprole 40% wg @ 50-70 gram mix with 150-200 litre water per acre.
Cultural Practices,Farmer needs information regarding transplanting time of cauliflower crop ,The appropriate time to transplanting brinjal crop is 20-25 days after sowing.
Cultural Practices,Farmer needs information regarding transplanting time of brinjal crop ,The appropriate time to transplanting brinjal crop is 20-25 days after sowing.
Seeds and Planting Material,Farmer needs information regarding improved varieties of radish crop ,The appropriate time to transplanting brinjal crop is 20-25 days after sowing.
Plant Protection,Farmer wants to know about the management of the paddy stem borer ,"Dear farmer,for the control of controlling the adult of stem borer kindly spray of the cartap hydrochloride 50 % sp @ 200 gram for one acre and mix with 150-200 litre of water for one acre area."
Plant Protection,Farmer wants to know about the management of the bph in the paddy crop ,"Dear farmer,for the control of controlling the adult of stem borer kindly spray of the cartap hydrochloride 50 % sp @ 200 gram for one acre and mix with 150-200 litre of water for one acre area."
Plant Protection,Farmer wants information about control of wilt in red gram crop ,For control of wilt in red gram crop spray of carbendazim 12% + mancozeb 63% wp @ 400 gram +streptocycline 15 gram per acre with 150-200 litre of water .
Plant Protection,Farmer wants information about control of stem borer in paddy crop ,To control of stem borer in paddy crop spray of cartap hydroclorid 4% gr @ at the rate of 8-10 kg per acre mix with 10 kg sand .
Seeds and Planting Material,Farmer need information regards the red colour variety of potato crop,"Dear farmer the red colour variety of potato crop is kufri arun, kufri lalima, kufri red."
Government Schemes,Farmer wants information about pm kisan samman nidhi scheme,"For information related to prime minister kisan samman nidhi scheme, you can contact patwari of your area."
Cultural Practices,Farmer wants information about cultivation of vegetable crop ,Now you can cultivate radish and carrot crops.
Plant Protection,Farmer wants to know information about control of leaf roller or leaf folder on paddy crop,Dear farmer to control leaf roller or leaf folder on paddy crop spray chloropyriphos 20 % ec @ 400 - 500 ml per acre mix with 150 - 200 litree of water .
Plant Protection,Farmer needs information regarding control of brown plant hopper in paddy crop ,For control of panicle mite in paddy crop spray of spiromesifen 240 % sc @ 250 ml mix with 150-200 litre water per acre.
Plant Protection,Farmer needs information regarding control of white plant hopper and white backed plant hopper in paddy crop ,For control of panicle mite in paddy crop spray of spiromesifen 240 % sc @ 250 ml mix with 150-200 litre water per acre.
Government Schemes,Farmer want to know information about pradhan mantri kisan samman nidhi yojana,You can contact the bank for loan waiver information.
Credit,Farmer want to know information about loan waiver ,You can contact the bank for loan waiver information.
Plant Protection,Farmer wants to know about seed treatment of tomato crop,Dear farmer for the seed treatment of tomato crop: - mix carbendazim @ 3 gram per kilo seeds along with some drop of water and make a paste and dry it before sowing.
Government Schemes,Farmer wants to know information about pradhan mantri shram yogi maan-dhan (pm-sym),"This scheme is provide by central government, under this scheme pradhan mantri shram yogi maan-dhan (pm-sym) yojana. farmers, who fall under the age of 18 to 40 years can avail this scheme. the premium rate will be 55-200 rs. per month for the farmers whose age in between 18 and 60 years . the amount of rs. 3000 per month will be provided as the pension after the completion of 60 year. for registration on this scheme farmer can contact to the nearly situated choice centres."
